doc,algorithm,seed,round,restored,n_axes
1,sequential,0,6,2,2
1,sequential,0,7,2,2
1,sequential,0,8,2,2
1,sequential,0,9,2,2
1,sequential,0,10,2,2
1,sequential,1,1,1,2
1,sequential,1,2,1,2
1,sequential,1,3,2,2
1,sequential,1,4,1,2
1,sequential,1,5,2,2
1,sequential,1,6,2,2
1,sequential,1,7,2,2
1,sequential,1,8,2,2
1,sequential,1,9,2,2
1,sequential,1,10,2,2
1,sequential,2,1,1,2
1,sequential,2,2,1,2
1,sequential,2,3,2,2
1,sequential,2,4,1,2
1,sequential,2,5,1,2
1,sequential,2,6,2,2
1,sequential,2,7,2,2
1,sequential,2,8,2,2
1,sequential,2,9,2,2
1,sequential,2,10,2,2
1,sequential,3,1,1,2
1,sequential,3,2,1,2
1,sequential,3,3,2,2
1,sequential,3,4,2,2
1,sequential,3,5,2,2
1,sequential,3,6,2,2
1,sequential,3,7,2,2
1,sequential,3,8,2,2
1,sequential,3,9,2,2
1,sequential,3,10,2,2
1,sequential,4,1,2,2
1,sequential,4,2,2,2
1,sequential,4,3,2,2
1,sequential,4,4,1,2
1,sequential,4,5,1,2
1,sequential,4,6,2,2
1,sequential,4,7,2,2
1,sequential,4,8,2,2
1,sequential,4,9,2,2
1,sequential,4,10,2,2
1,uncertainty,0,1,1,2
1,uncertainty,0,2,2,2
1,uncertainty,0,3,2,2
1,uncertainty,0,4,2,2
1,uncertainty,0,5,2,2
1,uncertainty,0,6,2,2
1,uncertainty,0,7,2,2
1,uncertainty,0,8,2,2
1,uncertainty,0,9,2,2
1,uncertainty,0,10,2,2
1,uncertainty,1,1,2,2
1,uncertainty,1,2,2,2
1,uncertainty,1,3,2,2
1,uncertainty,1,4,2,2
1,uncertainty,1,5,2,2
1,uncertainty,1,6,2,2
1,uncertainty,1,7,2,2
1,uncertainty,1,8,2,2
1,uncertainty,1,9,2,2
1,uncertainty,1,10,2,2
1,uncertainty,2,1,2,2
1,uncertainty,2,2,2,2
1,uncertainty,2,3,2,2
1,uncertainty,2,4,2,2
1,uncertainty,2,5,2,2
1,uncertainty,2,6,2,2
1,uncertainty,2,7,2,2
1,uncertainty,2,8,2,2
1,uncertainty,2,9,2,2
1,uncertainty,2,10,2,2
1,uncertainty,3,1,2,2
1,uncertainty,3,2,2,2
1,uncertainty,3,3,2,2
1,uncertainty,3,4,2,2
1,uncertainty,3,5,2,2
1,uncertainty,3,6,2,2
1,uncertainty,3,7,2,2
1,uncertainty,3,8,2,2
1,uncertainty,3,9,2,2
1,uncertainty,3,10,2,2
1,uncertainty,4,1,2,2
1,uncertainty,4,2,2,2
1,uncertainty,4,3,2,2
1,uncertainty,4,4,2,2
1,uncertainty,4,5,2,2
1,uncertainty,4,6,2,2
1,uncertainty,4,7,2,2
1,uncertainty,4,8,2,2
1,uncertainty,4,9,2,2
1,uncertainty,4,10,2,2
2,random,0,1,1,2
2,random,0,2,2,2
2,random,0,3,2,2
2,random,0,4,2,2
2,random,0,5,2,2
2,random,0,6,2,2
2,random,0,7,2,2
2,random,0,8,2,2
2,random,0,9,2,2
2,random,0,10,2,2
2,random,1,1,0,2
2,random,1,2,0,2
2,random,1,3,0,2
2,random,1,4,0,2
2,random,1,5,1,2
2,random,1,6,1,2
2,random,1,7,0,2
2,random,1,8,1,2
2,random,1,9,1,2
2,random,1,10,1,2
2,random,2,1,1,2
2,random,2,2,2,2
2,random,2,3,2,2
2,random,2,4,2,2
2,random,2,5,2,2
2,random,2,6,2,2
2,random,2,7,1,2
2,random,2,8,1,2
2,random,2,9,1,2
2,random,2,10,1,2
2,random,3,1,2,2
2,random,3,2,2,2
2,random,3,3,2,2
2,random,3,4,2,2
2,random,3,5,2,2
2,random,3,6,2,2
2,random,3,7,2,2
2,random,3,8,1,2
2,random,3,9,2,2
2,random,3,10,2,2
2,random,4,1,0,2
2,random,4,2,0,2
2,random,4,3,0,2
2,random,4,4,0,2
2,random,4,5,1,2
2,random,4,6,1,2
2,random,4,7,1,2
2,random,4,8,1,2
2,random,4,9,1,2
2,random,4,10,1,2
2,sequential,0,1,1,2
2,sequential,0,2,1,2
2,sequential,0,3,1,2
2,sequential,0,4,0,2
2,sequential,0,5,0,2
2,sequential,0,6,1,2
2,sequential,0,7,1,2
2,sequential,0,8,1,2
2,sequential,0,9,1,2
2,sequential,0,10,1,2
2,sequential,1,1,2,2
2,sequential,1,2,1,2
2,sequential,1,3,1,2
2,sequential,1,4,0,2
2,sequential,1,5,1,2
2,sequential,1,6,1,2
2,sequential,1,7,1,2
2,sequential,1,8,1,2
2,sequential,1,9,1,2
2,sequential,1,10,1,2
2,sequential,2,1,2,2
2,sequential,2,2,1,2
2,sequential,2,3,1,2
2,sequential,2,4,0,2
2,sequential,2,5,0,2
2,sequential,2,6,1,2
2,sequential,2,7,1,2
2,sequential,2,8,1,2
2,sequential,2,9,1,2
2,sequential,2,10,1,2
2,sequential,3,1,2,2
2,sequential,3,2,1,2
2,sequential,3,3,1,2
2,sequential,3,4,1,2
2,sequential,3,5,1,2
2,sequential,3,6,1,2
2,sequential,3,7,1,2
2,sequential,3,8,1,2
2,sequential,3,9,1,2
2,sequential,3,10,1,2
2,sequential,4,1,1,2
2,sequential,4,2,1,2
2,sequential,4,3,1,2
2,sequential,4,4,0,2
2,sequential,4,5,0,2
2,sequential,4,6,1,2
2,sequential,4,7,1,2
2,sequential,4,8,1,2
2,sequential,4,9,1,2
2,sequential,4,10,1,2
2,uncertainty,0,1,1,2
2,uncertainty,0,2,1,2
2,uncertainty,0,3,1,2
2,uncertainty,0,4,1,2
2,uncertainty,0,5,1,2
2,uncertainty,0,6,2,2
2,uncertainty,0,7,2,2
2,uncertainty,0,8,2,2
2,uncertainty,0,9,2,2
2,uncertainty,0,10,2,2
2,uncertainty,1,1,1,2
2,uncertainty,1,2,1,2
2,uncertainty,1,3,1,2
2,uncertainty,1,4,1,2
2,uncertainty,1,5,1,2
2,uncertainty,1,6,2,2
2,uncertainty,1,7,2,2
2,uncertainty,1,8,2,2
2,uncertainty,1,9,2,2
2,uncertainty,1,10,2,2
2,uncertainty,2,1,1,2
2,uncertainty,2,2,1,2
2,uncertainty,2,3,1,2
2,uncertainty,2,4,1,2
2,uncertainty,2,5,1,2
2,uncertainty,2,6,2,2
2,uncertainty,2,7,2,2
2,uncertainty,2,8,2,2
2,uncertainty,2,9,2,2
2,uncertainty,2,10,2,2
2,uncertainty,3,1,1,2
2,uncertainty,3,2,1,2
2,uncertainty,3,3,1,2
2,uncertainty,3,4,1,2
2,uncertainty,3,5,1,2
2,uncertainty,3,6,2,2
2,uncertainty,3,7,2,2
2,uncertainty,3,8,2,2
2,uncertainty,3,9,2,2
2,uncertainty,3,10,2,2
2,uncertainty,4,1,1,2
2,uncertainty,4,2,1,2
2,uncertainty,4,3,1,2
2,uncertainty,4,4,1,2
2,uncertainty,4,5,1,2
2,uncertainty,4,6,2,2
2,uncertainty,4,7,2,2
2,uncertainty,4,8,2,2
2,uncertainty,4,9,2,2
2,uncertainty,4,10,2,2
3,random,0,1,2,2
3,random,0,2,2,2
3,random,0,3,1,2
3,random,0,4,0,2
3,random,0,5,1,2
3,random,0,6,1,2
3,random,0,7,1,2
3,random,0,8,1,2
3,random,0,9,1,2
3,random,0,10,1,2
3,random,1,1,1,2
3,random,1,2,1,2
3,random,1,3,2,2
3,random,1,4,2,2
3,random,1,5,2,2
3,random,1,6,2,2
3,random,1,7,2,2
3,random,1,8,1,2
3,random,1,9,1,2
3,random,1,10,1,2
3,random,2,1,2,2
3,random,2,2,1,2
3,random,2,3,1,2
3,random,2,4,1,2
3,random,2,5,1,2
3,random,2,6,1,2
3,random,2,7,2,2
3,random,2,8,2,2
3,random,2,9,2,2
3,random,2,10,2,2
3,random,3,1,1,2
3,random,3,2,1,2
3,random,3,3,1,2
3,random,3,4,1,2
3,random,3,5,1,2
3,random,3,6,1,2
3,random,3,7,1,2
3,random,3,8,1,2
3,random,3,9,1,2
3,random,3,10,1,2
3,random,4,1,1,2
3,random,4,2,2,2
3,random,4,3,2,2
3,random,4,4,2,2
3,random,4,5,1,2
3,random,4,6,1,2
3,random,4,7,1,2
3,random,4,8,2,2
3,random,4,9,1,2
3,random,4,10,1,2
3,sequential,0,1,2,2
3,sequential,0,2,2,2
3,sequential,0,3,2,2
3,sequential,0,4,1,2
3,sequential,0,5,1,2
3,sequential,0,6,2,2
3,sequential,0,7,2,2
3,sequential,0,8,2,2
3,sequential,0,9,2,2
3,sequential,0,10,2,2
3,sequential,1,1,2,2
3,sequential,1,2,2,2
3,sequential,1,3,2,2
3,sequential,1,4,1,2
3,sequential,1,5,2,2
3,sequential,1,6,2,2
3,sequential,1,7,2,2
3,sequential,1,8,2,2
3,sequential,1,9,2,2
3,sequential,1,10,2,2
3,sequential,2,1,2,2
3,sequential,2,2,2,2
3,sequential,2,3,2,2
3,sequential,2,4,1,2
3,sequential,2,5,1,2
3,sequential,2,6,2,2
3,sequential,2,7,2,2
3,sequential,2,8,2,2
3,sequential,2,9,2,2
3,sequential,2,10,2,2
3,sequential,3,1,2,2
3,sequential,3,2,2,2
3,sequential,3,3,2,2
3,sequential,3,4,2,2
3,sequential,3,5,2,2
3,sequential,3,6,2,2
3,sequential,3,7,2,2
3,sequential,3,8,2,2
3,sequential,3,9,2,2
3,sequential,3,10,2,2
3,sequential,4,1,1,2
3,sequential,4,2,1,2
3,sequential,4,3,2,2
3,sequential,4,4,1,2
3,sequential,4,5,1,2
3,sequential,4,6,2,2
3,sequential,4,7,2,2
3,sequential,4,8,2,2
3,sequential,4,9,2,2
3,sequential,4,10,2,2
3,uncertainty,0,1,2,2
3,uncertainty,0,2,2,2
3,uncertainty,0,3,2,2
3,uncertainty,0,4,2,2
3,uncertainty,0,5,2,2
3,uncertainty,0,6,2,2
3,uncertainty,0,7,2,2
3,uncertainty,0,8,2,2
3,uncertainty,0,9,2,2
3,uncertainty,0,10,2,2
3,uncertainty,1,1,2,2
3,uncertainty,1,2,2,2
3,uncertainty,1,3,2,2
3,uncertainty,1,4,2,2
3,uncertainty,1,5,2,2
3,uncertainty,1,6,2,2
3,uncertainty,1,7,2,2
3,uncertainty,1,8,2,2
3,uncertainty,1,9,2,2
3,uncertainty,1,10,2,2
3,uncertainty,2,1,2,2
3,uncertainty,2,2,2,2
3,uncertainty,2,3,2,2
3,uncertainty,2,4,2,2
3,uncertainty,2,5,2,2
3,uncertainty,2,6,2,2
3,uncertainty,2,7,2,2
3,uncertainty,2,8,2,2
3,uncertainty,2,9,2,2
3,uncertainty,2,10,2,2
3,uncertainty,3,1,2,2
3,uncertainty,3,2,2,2
3,uncertainty,3,3,2,2
3,uncertainty,3,4,2,2
3,uncertainty,3,5,2,2
3,uncertainty,3,6,2,2
3,uncertainty,3,7,2,2
3,uncertainty,3,8,2,2
3,uncertainty,3,9,2,2
3,uncertainty,3,10,2,2
3,uncertainty,4,1,2,2
3,uncertainty,4,2,2,2
3,uncertainty,4,3,2,2
3,uncertainty,4,4,2,2
3,uncertainty,4,5,2,2
3,uncertainty,4,6,2,2
3,uncertainty,4,7,2,2
3,uncertainty,4,8,2,2
3,uncertainty,4,9,2,2
3,uncertainty,4,10,2,2
4,random,0,1,2,2
4,random,0,2,2,2
4,random,0,3,1,2
4,random,0,4,1,2
4,random,0,5,1,2
4,random,0,6,1,2
4,random,0,7,1,2
4,random,0,8,1,2
4,random,0,9,1,2
4,random,0,10,1,2
4,random,1,1,1,2
4,random,1,2,1,2
4,random,1,3,2,2
4,random,1,4,2,2
4,random,1,5,2,2
4,random,1,6,2,2
4,random,1,7,2,2
4,random,1,8,1,2
4,random,1,9,1,2
4,random,1,10,1,2
4,random,2,1,2,2
4,random,2,2,1,2
4,random,2,3,1,2
4,random,2,4,1,2
4,random,2,5,1,2
4,random,2,6,1,2
4,random,2,7,2,2
4,random,2,8,2,2
4,random,2,9,2,2
4,random,2,10,2,2
4,random,3,1,1,2
4,random,3,2,1,2
4,random,3,3,1,2
4,random,3,4,1,2
4,random,3,5,1,2
4,random,3,6,1,2
4,random,3,7,1,2
4,random,3,8,1,2
4,random,3,9,1,2
4,random,3,10,1,2
4,random,4,1,1,2
4,random,4,2,2,2
4,random,4,3,2,2
4,random,4,4,2,2
4,random,4,5,1,2
4,random,4,6,1,2
4,random,4,7,1,2
4,random,4,8,2,2
4,random,4,9,1,2
4,random,4,10,1,2
4,sequential,0,1,2,2
4,sequential,0,2,2,2
4,sequential,0,3,2,2
4,sequential,0,4,1,2
4,sequential,0,5,1,2
4,sequential,0,6,2,2
4,sequential,0,7,2,2
4,sequential,0,8,2,2
4,sequential,0,9,2,2
4,sequential,0,10,2,2
4,sequential,1,1,2,2
4,sequential,1,2,2,2
4,sequential,1,3,2,2
4,sequential,1,4,1,2
4,sequential,1,5,2,2
4,sequential,1,6,2,2
4,sequential,1,7,2,2
4,sequential,1,8,2,2
4,sequential,1,9,2,2
4,sequential,1,10,2,2
4,sequential,2,1,2,2
4,sequential,2,2,2,2
4,sequential,2,3,2,2
4,sequential,2,4,1,2
4,sequential,2,5,1,2
4,sequential,2,6,2,2
4,sequential,2,7,2,2
4,sequential,2,8,2,2
4,sequential,2,9,2,2
4,sequential,2,10,2,2
4,sequential,3,1,2,2
4,sequential,3,2,2,2
4,sequential,3,3,2,2
4,sequential,3,4,2,2
4,sequential,3,5,2,2
4,sequential,3,6,2,2
4,sequential,3,7,2,2
4,sequential,3,8,2,2
4,sequential,3,9,2,2
4,sequential,3,10,2,2
4,sequential,4,1,1,2
4,sequential,4,2,1,2
4,sequential,4,3,2,2
4,sequential,4,4,1,2
4,sequential,4,5,1,2
4,sequential,4,6,2,2
4,sequential,4,7,2,2
4,sequential,4,8,2,2
4,sequential,4,9,2,2
4,sequential,4,10,2,2
4,uncertainty,0,1,2,2
4,uncertainty,0,2,2,2
4,uncertainty,0,3,2,2
4,uncertainty,0,4,2,2
4,uncertainty,0,5,2,2
4,uncertainty,0,6,2,2
4,uncertainty,0,7,2,2
4,uncertainty,0,8,2,2
4,uncertainty,0,9,2,2
4,uncertainty,0,10,2,2
4,uncertainty,1,1,2,2
4,uncertainty,1,2,2,2
4,uncertainty,1,3,2,2
4,uncertainty,1,4,2,2
4,uncertainty,1,5,2,2
4,uncertainty,1,6,2,2
4,uncertainty,1,7,2,2
4,uncertainty,1,8,2,2
4,uncertainty,1,9,2,2
4,uncertainty,1,10,2,2
4,uncertainty,2,1,2,2
4,uncertainty,2,2,2,2
4,uncertainty,2,3,2,2
4,uncertainty,2,4,2,2
4,uncertainty,2,5,2,2
4,uncertainty,2,6,2,2
4,uncertainty,2,7,2,2
4,uncertainty,2,8,2,2
4,uncertainty,2,9,2,2
4,uncertainty,2,10,2,2
4,uncertainty,3,1,2,2
4,uncertainty,3,2,2,2
4,uncertainty,3,3,2,2
4,uncertainty,3,4,2,2
4,uncertainty,3,5,2,2
4,uncertainty,3,6,2,2
4,uncertainty,3,7,2,2
4,uncertainty,3,8,2,2
4,uncertainty,3,9,2,2
4,uncertainty,3,10,2,2
4,uncertainty,4,1,2,2
4,uncertainty,4,2,2,2
4,uncertainty,4,3,2,2
4,uncertainty,4,4,2,2
4,uncertainty,4,5,2,2
4,uncertainty,4,6,2,2
4,uncertainty,4,7,2,2
4,uncertainty,4,8,2,2
4,uncertainty,4,9,2,2
4,uncertainty,4,10,2,2
